store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
45,Quito,Pichincha,A,11,11-50,16,3,0.8969013751662012,3.313763044613174,-2.4168616694469724,-10.17659343906895,0.0,0.019840250346023523,0.018518518518518517,0.001736111111111111,False,0.0,526.375,225.78310993066944,-300.59189006933053,12.1875
49,Quito,Pichincha,A,11,11-50,15,3,0.3554673068955325,2.823615193188568,-2.4681478862930355,-7.846445752933752,0.0,0.0029216512374624715,0.017361111111111112,0.001736111111111111,False,0.0,298.46666666666664,229.4565676286248,-69.01009903804187,12.266666666666667
46,Quito,Pichincha,A,14,11-50,13,2,0.5885543428074589,3.7339013269878936,-3.145346984180435,-13.595622905244431,0.0,0.006941515134798406,0.015046296296296295,0.0011574074074074073,False,0.0,364.53846153846155,213.61701938112898,-150.9214421573326,12.307692307692308
47,Quito,Pichincha,A,14,11-50,15,0,2.7330454007530194,,,,0.0,0.17271208885254474,0.017361111111111112,0.0,True,0.0,538.4,33.60161905885918,-504.7983809411408,12.2
44,Quito,Pichincha,A,5,11-50,15,0,2.6975631786811674,,,,0.0,0.16825667187416654,0.017361111111111112,0.0,True,0.0,414.2,26.982084059760414,-387.2179159402396,12.533333333333333
48,Quito,Pichincha,A,14,11-50,13,0,2.5619153498512763,,,,0.0,0.13152572041902463,0.015046296296296295,0.0,True,0.0,464.84615384615387,35.381391708974405,-429.4647621371795,11.846153846153847
50,Ambato,Tungurahua,A,14,11-50,15,0,2.2547639918147735,,,,0.0,0.11755232565438757,0.017361111111111112,0.0,True,0.0,416.0,48.57489778646182,-367.4251022135382,12.533333333333333
20,Quito,Pichincha,B,6,6-10,9,0,1.2436814269396042,,,,0.0,0.021458462035223835,0.010416666666666666,0.0,True,0.0,84.33333333333333,23.288004225496294,-61.04532910783704,7.0
17,Quito,Pichincha,C,12,6-10,4,0,1.0012152121526223,,,,0.0,0.0061809133567008465,0.004629629629629629,0.0,True,0.0,40.25,15.01430303655259,-25.23569696344741,6.25
39,Cuenca,Azuay,B,6,1,4,0,0.9602980263452616,,,,0.0,0.005686039197885178,0.004629629629629629,0.0,True,0.0,7.75,3.1936955147379056,-4.556304485262094,1.0
10,Quito,Pichincha,C,15,2-5,4,0,0.9044685741082508,,,,0.0,0.005044112223473389,0.004629629629629629,0.0,True,0.0,8.75,3.104607945386907,-5.645392054613093,2.5
15,Ibarra,Imbabura,C,15,2-5,7,0,0.6574611303902126,,,,0.0,0.004664187380491833,0.008101851851851851,0.0,True,0.0,9.857142857142858,7.222817279919945,-2.634325577222912,3.142857142857143
11,Cayambe,Pichincha,B,6,6-10,9,0,0.5094240363720162,,,,0.0,0.003600303892777233,0.010416666666666666,0.0,True,0.0,27.666666666666668,19.29377578456072,-8.372890882105947,6.777777777777778
12,Latacunga,Cotopaxi,C,15,2-5,8,0,0.5046859049160981,,,,0.0,0.0031410158206024276,0.009259259259259259,0.0,True,0.0,9.75,8.384419057106179,-1.3655809428938204,3.625
19,Guaranda,Bolivar,C,15,2-5,6,0,0.5770262103420047,,,,0.0,0.0030794993517442477,0.006944444444444444,0.0,True,0.0,8.333333333333334,6.993881857400763,-1.3394514759325695,3.0
14,Riobamba,Chimborazo,C,7,2-5,6,0,0.4191358177827048,,,,0.0,0.001624795048749017,0.006944444444444444,0.0,True,0.0,6.333333333333333,5.5897442969086795,-0.7435890364246546,3.0
13,Latacunga,Cotopaxi,C,15,2-5,5,0,0.44239581674215384,,,,0.0,0.0015084461573791226,0.005787037037037037,0.0,True,0.0,10.8,6.948702071618851,-3.851297928381149,3.2
22,Puyo,Pastaza,C,7,2-5,4,0,0.49141987888633465,,,,0.0,0.0014890292117203865,0.004629629629629629,0.0,True,0.0,7.75,11.815606600301255,4.065606600301255,3.75
